# File ORIGINALLY generated by...,,,,,,,,,
# program:      StateModGUI 07.03.01 (2009-06-19),,,,,,,,,
# user:         sam,,,,,,,,,
# date:         Wed Dec 22 18:50:32 MST 2010,,,,,,,,,
# host:         AMAZON,,,,,,,,,
# directory:    C:\CDSS\data\cm2009\statemod,,,,,,,,,
# command line: StateModGUI -home,,,,,,,,,
#            C:\Develop\StateModGUI_SourceBuild/StateModGUI/test/operational/CDSS,,,,,,,,,
#,,,,,,,,,
# ris ORIGINALLY had 133 out of 213 locations with missing spatial data.,,,,,,,,,
#
# Coordinates provided in updated file by Carolyn Fritz, CWCB, 2010-12-29, as "x-gui-MissingSpatial-ris.csv"
# File cleaned up by Steve Malers
#,,,,,,,,,
# Specify X and Y in projected coordinates to match other layer data.,,,,,,,,,
#,,,,,,,,,
"ID","Name","Long","Lat","X","Y","Note"
504600,SARVIS CREEK DITCH,-106.600798,40.235059,363823,4455076,GUI Detected no coordinates
510594,CROOKED CREEK DITCH NO 1,-105.878099,39.947677,424988,4422319,GUI Detected no coordinates
510728,HAMILTON-CABIN CR DITCH,-105.74996,39.996174,435979.6,4427601.9,GUI Detected no coordinates
510848,REDTOP VALLEY DITCH,-105.867723,40.251958,426203.9,4456083.9,GUI Detected no coordinates
510934,TRAIL CREEK DITCH,-105.979081,40.184302,416650.2,4448672.8,GUI Detected no coordinates
510941,VAIL IRR SYS HGT NO 2,-105.85757,40.074483,426877.2,4436376.5,GUI Detected no coordinates
510948,WALDON HOLLOW DITCH,-105.816335,40.084579,430403.5,4437464,GUI Detected no coordinates
511070,HENDERSON MINE WTR SYS,-106.081491,39.840641,407468.9,4410629.7,GUI Detected no coordinates
511269,FRASER RIVER DIVR PROJ,-105.735035,39.929102,437192.4,4420146.9,GUI Detected no coordinates
511309,FRASER RIVER DIVR PROJ,-105.913172,39.842246,421872.1,4410647.2,GUI Detected no coordinates
511310,FRASER RIVER DIVR PROJ,-105.819817,39.865625,429883.2,4413164.7,GUI Detected no coordinates
512061,MIN FLOW CORRAL CREEK,,,,,GUI Detected no coordinates
512084,MIN FLOW FRASER RIVER,,,,,GUI Detected no coordinates
513695,CBT SHADOW MTN GRAND L,,,,,GUI Detected no coordinates
513709,WILLIAMS FORK RESERVOIR,-106.206315,40.035259,397080.9,4432367.6,GUI Detected no coordinates
514601,GRAND RIVER DITCH,-105.819913,40.476531,430500.9,4480972.5,GUI Detected no coordinates
